Start time,End time,German ><,English!
2482.1,2483.1,ss Forrest kriecht rein.,ss Forrest creeps in.
2488.3,2491.3,s Bis zur Brust in trübem Wasser watet der Trupp durch ein Reisfeld.,s up to his chest in turbid water wading the squad through a rice field.
2516.2,2517.3,ss Sie gehen durch einen Fluss.,ss You go through a river.
2583.2,2585,Er liegt unter einer Plane und schreibt.,He is under a tarp and writes.
2600.3,2602.1,ss Jenny kommt aus dem Wohnwagen ihrer Oma.,ss Jenny comes from the caravan her grandmother.
2606.8,2609,Sie steigt zu anderen Hippies in einen VW-Bus.,She joins other hippies in a VW bus.
2619.4,2622.8,Auf Patrouille streift der Trupp durch den Dschungel.,On patrol squad roams through the jungle.
2645.4,2647.6,ss Ein Kamerad wird getroffen. Forrest wirft sich hin.,ss A comrade is taken. Forrest throws himself.
2649,2650.8,s Leuchtende Munition saust durch die Luft.,s Vibrant ammunition whizzes through the air.
2654.8,2657.6,s Überall spritzt Erde hoch. Forrest robbt hinter eine Wegböschung.,s Everywhere injected high ground. Forrest crawls behind a Wegböschung.
2662.5,2665.2,ss Neben Forrest liegt Dan und hält den Hörer eines Funktelefons.,ss In addition Forrest is Dan and holds the receiver of a radiotelephone.
2670.7,2671.6,ss Forrest schießt.,ss Forrest shoots.
2692.2,2694.2,ss Ein Feuerball fegt die MG-Schützen weg.,ss A fireball sweeping the gunners away.
2705.9,2708.4,Forrest schaut verstört zwischen Dan und Bubba hin und her.,Forrest looked distraught between Dan and Bubba back and forth.
2710.8,2712.1,s Dan zerrt Forrest hoch.,s Dan drags high Forrest.
2717.1,2720.5,Forrest rennt los. Überall schlagen Granaten ein; Erde spritzt hoch.,Forrest runs off. Everywhere hit a grenade; Earth splashing high.
2723.7,2725.6,s Ein Soldat hinter Forrest wird weggerissen.,s A soldier behind Forrest is torn.
2733.6,2735.8,"s Forrest überholt Bubba, ohne ihn zu bemerken.",s Forrest outdated Bubba without noticing him.
2754,2756.4,"Er bleibt stehen, schnellt herum und rennt zurück.","He stops, rockets around and runs back."
2761.6,2763.3,Forrest läuft durch den lichten Dschungel.,Forrest runs through the sparse jungle.
2772.8,2774.2,s Neben ihm hebt sich eine Hand.,"s Next to him, raises a hand."
2780.5,2782.4,Forrest legt sich Tex über die Schultern.,Forrest Southwestern lies down over her shoulders.
2791.2,2794.5,Tex ist an der Schulter verwundet; sein Hemd ist blutdurchtränkt.,Tex is wounded in the shoulder; his shirt is soaked with blood.
2798.4,2802.4,Forrest kommt mit Tex zu einer Lichtung an einem Flussufer und legt ihn ins Gras.,Forrest comes with Tex to a clearing at a river bank and places it on the grass.
2814.5,2818.5,ss Er legt einen Soldaten mit blutigem Verband ans Ufer und rennt zurück. * Er findet Dallas.,ss He puts a soldier with a bloody bandage to the shore and runs back. * He finds Dallas.
2821.4,2822.8,ss Forrest legt Dallas ans Ufer.,ss Forrest Dallas lays ashore.
2833.5,2835.7,ss Er stolpert und starrt auf Dans blutige Beine.,ss He stumbles and stares at Dan's bloody legs.
2847.6,2849.3,ss Forrest schnallt Dan den Rucksack ab.,ss Forrest Dan strapped on the backpack.
2855.7,2857.3,ss Forrest wuchtet Dan auf die Schultern.,ss Forrest Dan balanced on his shoulders.
2868.9,2876.9,ss Er fällt hin. Ein Baum hinter ihm explodiert. Forrest schleift Dan an einem Arm hinter sich her. Der schießt mit der Pistole zurück in den Dschungel.,ss He falls down. A tree explodes behind him. Forrest Dan drags on an arm behind him. The shoots with the gun back into the jungle.
2883.4,2884.4,s Forrest trägt ihn.,s Forrest wears it.
2896.7,2899.1,s Forrest legt ihn ans Ufer. Dan hält ihn fest.,s Forrest puts him to shore. Dan holds him.
2913.5,2915.5,Er rennt wieder los.,He runs off again.
2917.1,2919.7,Mit seinem Gewehr in beiden Händen hastet er durch den Dschungel.,"With his gun in both hands, he hurries through the jungle."
2924.4,2926.4,Forrest stoppt und sieht sich verzweifelt um.,Forrest stops and looks around desperately.
2929.7,2933.2,Der sieht zur Seite und entdeckt Bubba am Boden. Rauch liegt in der Luft.,He looks to the side and discovered Bubba on the ground. Smoke is in the air.
2941,2944.8,Geschockt zieht Forrest einen blutigen Palmwedel von Bubbas großer Bauchwunde.,Shocked pulls Forrest a bloody palm fronds of Bubbas large abdominal wound.
2953.2,2955,s Etwas entfernt huschen Gestalten vorbei.,s Something flies flit past figures.
2956.7,2957.8,s Forrest schaut kurz hin.,s Forrest looks back briefly.
2965,2967,Er läuft mit Bubba auf den Armen durch den Dschungel.,He runs with Bubba in his arms through the jungle.
2976,2986.6,Beim Laufen sieht Forrest panisch zum Himmel. * Er kommt mit Bubba auf eine Lichtung. Kampfjets fliegen heran. Im Dschungel hinter den beiden explodieren Napalm-Bomben. Die Explosionen kommen immer näher.,Running Forrest looks panicky to heaven. * It comes with Bubba on a clearing. Fighter jets flying zoom. In the jungle behind the two exploding napalm bombs. The explosions come closer.
2991.6,2997.1,Ein orangeroter Feuerball schießt direkt hinter ihnen hoch. Forrest rennt weiter. Der Dschungel steht in Flammen.,An orange-red fireball shoots straight up behind them. Forrest runs on. The jungle is in flames.
3001.9,3006,Dunkler Qualm hängt über den Baumkronen. Gehetzt trägt Forrest Bubba zum Ufer.,Dark smoke hangs over the treetops. Rushed carries Forrest Bubba to shore.
3018.8,3020.5,s Mit Bubba im Arm sitzt er im Gras.,"s with Bubba in his arms, he sits in the grass."
3060.9,3061.8,Auf der Wartebank:,On the waiting bench:
3064.5,3066.5,s Neben Forrest sitzt jetzt ein dicker Mann.,s In addition to Forrest now sits a fat man.
3068.4,3069.9,Forrest sieht ihn abrupt an.,Forrest looks at him abruptly.
3093.7,3094.3,ss Im Lazarett:,ss In hospital:
3102.6,3104.8,"s Forrest, mit zwei Eistüten, liegt auf dem Bauch.","S Forrest, with two ice cream cones, lying on his stomach."
3108.3,3109.4,s Dan schaut ins Leere.,s Dan looked into the void.
3112.7,3116.2,"Dan nimmt die Tüte, legt sie in seine Bettpfanne und starrt weiter vor sich hin.","Dan takes the bag, puts it in his bedpan and continues to stare into space."
3118.1,3119.9,Forrest robbt von einer Liege auf sein Bett.,Forrest crawls from a deck on his bed.
3125.7,3133.8,Der Pfleger legt Dans Hände an einen Haltegriff. Dans Unterschenkel sind amputiert. Die Stümpfe sind mit Bandagen umwickelt. Der Pfleger hebt ihn hoch.,The nurse puts Dan's hands on a handle. Dans lower legs are amputated. The stumps are wrapped in bandages. The nurse lifts him up.
3135.1,3138,Eine Rollliege wird heran geschoben. Der Pfleger legt Dan darauf.,A Rollliege is pushed zoom. The nurse puts it Dan.
3139,3140,Dan wird weggerollt.,Dan is rolled away.
3141.1,3142,Post wird verteilt.,Post is distributed.
3143.4,3145,Forrest schleckt weiter sein Eis.,Forrest licks continue to be ice.
3148.7,3150.5,Er bekommt ein dickes Bündel Briefe.,He gets a thick bundle of letters.
3153.4,3158.9,Forrest zieht den obersten Brief heraus. Er ist an Jenny adressiert und mit dem Stempel 'unzustellbar' versehen.,Forrest pulls out the top letter. It is addressed to Jenny and 'undeliverable' with the stamp.
3161.5,3166.2,Forrest nimmt weiter Briefe aus dem Bündel. Alle sind an Jenny gerichtet und haben denselben Stempel.,Forrest continues to take letters from the bundle. All are addressed to Jenny and have the same stamp.
3167.5,3170.4,Niedergeschlagen betrachtet Forrest einen Brief nach dem anderen.,Dejected considered Forrest a letter after another.
3172,3175.6,In einem Freizeitraum des Lazaretts sitzt Forrest mit einem Eis vorm Fernseher.,In a recreation room of the hospital Forrest sits with an ice front of the TV.
3181.7,3183.9,Mühsam steht Forrest von mehreren Kissen auf.,Painfully stands Forrest on several pillows.
3187.7,3189.3,s Ein Tischtennisball trifft seinen Kopf.,s A table tennis ball strikes his head.
3190.8,3192.6,Der Mann bewegt seinen Schläger wie im Spiel.,The man moved his bat like in the game.
3194.3,3195.5,Forrest schüttelt den Kopf.,Forrest shakes his head.
3198.1,3199.6,Er gibt Forrest den Schläger.,He gives Forrest the bat.
3209.1,3211.8,s Er bewegt den Ball hin und her; Forrest behält ihn im Blick.,s He moves the ball back and forth; Forrest keeps it in mind.
3212.8,3215.4,Mit dem Eis in der Hand spielt Forrest gegen einen Rollstuhlfahrer.,With the ice in his hand Forrest plays against a wheelchair.
3225.4,3226.6,Er übt die Angabe.,He exerts an indication.
3231,3233.3,ss Die Bälle springen vom Gegnerfeld in eine Bettpfanne.,ss The balls jump from the opponent field in a bedpan.
3234.9,3238.1,s Forrest spielt vor vielen Zuschauern gegen das hoch geklappte Gegnerfeld.,s Forrest plays in front of many spectators against the folded-up opponents field.
3249.3,3250.3,Dan auf einer Liege schaut mürrisch nach draußen.,Dan on a couch looking sullenly out.
3251.6,3257.1,Forrest spielt allein. Dabei trifft er immer wieder ein Zielquadrat auf einer hochgestellten Platte. Ein Offizier kommt.,Forrest plays alone. He meets again a target square on a raised panel. An officer comes.
3262.8,3265.6,"Forrest greift wieder… ""MEIN SOHN!"" … zu Ball und Schläger.","Forrest intervenes again ... ""My son!"" ... To bat and ball."
3267.7,3268.6,ss Im Schlafsaal:,ss In dormitory:
3272.5,3278.5,Er zieht einen Vorhang weg. In Dans Bett liegt ein Mann mit vollständig bandagiertem Kopf und Oberkörper. Zu einer Schwester:,He pulls a curtain away. In Dan's bed a man lies with completely bandaged head and torso. To a sister:
3284.8,3286.9,Forrest sieht wieder auf den Schwerverletzten.,Forrest looks back on the severe injuries.
3293.5,3294.1,ss Im Fernsehen:,ss On TV:
3307.5,3309.1,Johnson hängt Forrest die Medaille um.,Johnson depends Forrest to the medal.
3318.8,3324.8,"Im Saal sitzt auch die Mutter von Forrest. Der glotzt Johnson an, dreht sich um und entblößt die Pobacke mit der Wunde.","In the hall, the mother of Forrest sitting. The stares at Johnson, turns and bares the buttock to the wound."
3327.3,3332.6,s Im Friseurladen gucken drei Männer verdutzt zum Bildschirm. * Johnson winkt amüsiert ab und geht.,"s In the barber shop, three men look puzzled to the screen. * Johnson dismisses amused and goes."
3334.5,3336,s Forrest vor dem 'Lincoln Memorial'…,s Forrest vor dem 'Lincoln Memorial'…
3345.7,3347,er trägt Paradeuniform,he wears dress uniform
3358.8,3362.1,s Er wird in eine Schlange von 'Veteranen gegen den Krieg' geschoben.,s he is pushed into a queue of 'veterans against the war'.
3366,3381.8,"s Am Straßenrand viele Busse mit Antikriegs-Parolen. Die zwei Frauen führen die Veteranen und Forrest hinter eine Bühne. Viele der Männer haben Bärte und lange Haare, sie tragen Uniformteile kombiniert mit Zivilkleidung. An der Treppe zur Bühne wird Forrest an den Anfang der Schlange gestellt. Der Veteran hinter ihm:","s Roadside many buses with anti-war slogans. The two women lead the veterans and Forrest behind a stage. Many of the men have beards and long hair, they wear uniforms parts combined with civilian clothes. On the stairs to the stage Forrest is placed at the beginning of the queue. The veteran behind him:"
3420.4,3421.2,Der Veteran:,The Veteran:
3423,3435,Zögernd geht Forrest zu den Mikros. Vor der Bühne stehen Zehntausende um ein längliches Bassin. An dessen Ende ragt das 'Washington Monument' empor – ein 170 Meter hoher weißer Obelisk.,"Hesitantly goes Forrest to the microphones. Before the stage, tens of thousands are an elongated basin. At its end stands the 'Washington Monument' up - a 170-meter tall white obelisk."
3445.3,3450.9,Vor dem 'Lincoln Memorial' stehen Übertragungswagen. In der Menge werden Plakate mit dem Friedenssymbol hochgehalten.,Before the 'Lincoln Memorial' stand outside broadcast vans. In the crowd posters are upheld with the peace symbol.
3478,3484.5,"s Neben der Verstärkeranlage sieht sich ein Polizist unauffällig um … ""IN VIETNAM"" … und reißt Stecker aus den Buchsen.","s In addition to the sound system, a policeman looks unremarkable to ... ""IN VIETNAM"" ... and pulls plugs from the sockets."
3488,3494.3,"Forrest spricht weiter. ""OCH!"" Eine der beiden Frauen stürmt zum Polizisten und schnappt sich seinen Schlagstock.","Forrest continued talking. ""OCH!"" One of the women has a fantastic for police and grabs his baton."
3501.3,3505.7,"Der Polizist wird weggezerrt, die Verstärkeranlage neu verkabelt.","The policeman is dragged away, rewired the PA system."
3509.4,3510.7,s Forrest redet immer weiter.,s Forrest talks on and on.
3519.5,3524.2,Der Mann mit dem Flaggenhemd wischt sich Tränen aus den Augen und legt Forrest die Hände auf die Schultern.,The man with the flag shirt wipes tears from his eyes and puts his hands on her shoulders Forrest.
3540.1,3545.1,"s Eine Frau steigt ins Bassin … ""FORREST"" … und watet durchs knietiefe Wasser Richtung Bühne.","s A woman gets into the basin ... ""FORREST"" ... and wades through knee-deep water towards the stage."
3549,3560.4,"Der springt von der Bühne und hetzt durch die Menge zum Bassin. Jenny läuft glücklich lächelnd durchs Wasser auf ihn zu. Über ihrem weiten langen weißen Kleid trägt sie eine rot gestreifte Weste, die bis zu den Waden reicht.","The jump from the stage and rushes through the crowd to the basin. Jenny runs smiling happily through the water toward him. Over her wide long white dress she is wearing a red striped vest, which reaches to the calves."
3561.2,3562.4,Forrest rennt ins Wasser.,Forrest runs into the water.
3565,3566.3,Sie fallen sich in die Arme.,They fall into his arms.
3578,3578.9,ss  Abends in einem Camp.,ss evening at a camp.
3608.1,3610.4,Bei Jenny steht ein Weißer mit roter Armbinde.,When Jenny is a white man with red armbands.
3635.8,3638.1,"Forrest starrt zu Jenny und Wesley, die sich streiten.","Forrest stares at Jenny and Wesley, who quarrel."
3643.5,3644.7,s Wesley ohrfeigt Jenny.,s slaps Wesley Jenny.
3647.3,3653.6,"In Zeitlupe: Forrests Augen weiten sich. Er marschiert auf Wesley zu, stürzt sich auf ihn und fällt mit ihm über einen Tisch.","In Slow Motion: Forrest's eyes widen. He marched on to Wesley, lunges at him and falls with him over a table."
3659.5,3660.8,ss Er prügelt auf Wesley ein.,ss He beats on a Wesley.
3665.1,3666,ss Sie zieht ihn weg.,ss She pulls him away.
3667.3,3671.1,"Wesley rappelt sich hoch, fasst sich ins Gesicht und sieht auf seine blutigen Hände.","Wesley pulls himself up, touches his face and looks at his bloody hands."
3683.6,3686.8,Ein Schwarzer hält die Tür auf. Andere haben ihre Waffen gezogen.,A black man holds the door open. Others have drawn their weapons.
3689.3,3693.2,Er sieht zum Anführer. Der klopft sich mit dem Revolver auf die schwarze Lederjacke.,He sees the leader. The knocks with the revolver on the black leather jacket.
3698.2,3701.2,s Vor dem Weißen Haus geht Jenny mit ihm an einem Friedensmarsch vorbei.,s the White House Jenny passes a peace march with him.
3709.3,3711.6,Die Demonstranten halten Kerzen in den Händen.,Protesters hold candles in their hands.
3716.1,3719.4,Im Gehen sehen sie sich kurz in die Augen. Jenny senkt den Blick.,In Go see briefly in his eyes. Jenny looks down.
3721.8,3723.3,Sie wischt über Forrests Ärmel.,She wipes over Forrest's sleeve.
3743.2,3744.6,Jenny hakt sich bei ihm unter.,Jenny hooked under him.
3752,3753,Jenny beim Trampen.,Jenny while hitchhiking.
3760.2,3761.2,ss Sie nimmt LSD.,ss takes LSD.
3768.7,3772.9,"ss Als Straßenmusikant auf dem 'Walk of Fame' in Hollywood: ""HEY!"" Ein Langhaariger mit VW-Käfer.","ss As busker on the 'Walk of Fame' in Hollywood: ""HEY"" A long-haired with VW Beetle."
3785.1,3785.6,ss Morgens:,ss morning:
3787.8,3788.9,An einem alten Bus.,At an old bus.
3790.8,3792.2,Zögernd nähert sich Wesley.,Hesitantly approaches Wesley.
3801.1,3802.5,Jenny hält den Blick gesenkt.,Jenny keeps looking down.
3805.9,3807.1,Sie blickt ihn grimmig an.,She looks at him grimly.
3818.2,3822.4,Er starrt Wesley böse an. Der geht ein paar Schritte rückwärts und wendet sich kurz ab.,He stares at Wesley evil. The takes a few steps backwards and turns short.
3835.8,3840.3,Forrest öffnet das blaue Band seiner goldenen Tapferkeitsmedaille mit fünfzackigem Stern.,Forrest opens the blue ribbon of his gold medal for bravery with fünfzackigem star.
3844.7,3846,Er legt sie in ihre Hand.,He puts them in her hand.
3867.3,3868.3,Sie umarmt ihn.,She hugs him.
3873,3874.8,Jenny geht mit Wesley zur Bustür.,Jenny goes with Wesley for bus door.
3879.6,3887.3,Beim Einsteigen lächelt sie Forrest an. Er lächelt zurück. Wesley sieht nochmal ernst zu ihm. Forrest kneift finster die Augen zusammen.,When boarding she smiles at Forrest. He smiles back. Wesley looks again seriously to him. Forrest pinches dark eyes together.
3895.2,3897.8,Jenny klopft gegen die Heckscheibe und winkt Forrest zu.,Jenny knocks against the rear window and waving to Forrest.
3901.7,3904.6,Sie macht das v-förmige 'Peace'-Zeichen; er erwidert es.,It makes the V-shaped 'Peace' characters; he answers it.
3910.8,3912.4,Die Mondlandung im Fernsehen:,The moon landing on television:
3914.6,3916.6,ss Das Gerät steht in einem Klinik-Aufenthaltsraum.,ss The machine is in a hospital lounge.
3919.1,3924.7,"ss Die Stühle davor sind leer. Personal und Patienten gucken Forrest zu, der allein mit zwei Schlägern und drei Bällen Pingpong spielt.","ss The chairs in front of it are empty. Staff and patients look to Forrest, who alone playing with two rackets and three balls Pingpong."
3965.2,3971.2,s Der Talkmaster Dick Cavett steht auf. Forrest kommt in einem dunkelblauen Zweireiher mit Nationalmannschaftsemblem zu ihm.,The talk show host Dick Cavett s stands on. Forrest comes in a dark blue double-breasted suit with National Emblem to him.
3983.6,3984.5,s John Lennon raucht.,s John Lennon smoking.
3992.6,3994.5,Forrest blickt John Lennon irritiert an.,Forrest looks at John Lennon irritated.
4020.1,4022.2,Forrest verlässt das Gebäude. Hinter ihm:,Forrest leaves the building. Behind him:
4029.6,4031.6,Der sitzt im Rollstuhl und hat lange Haare.,The is in a wheelchair and has long hair.
4062.1,4063.3,s Er rollt eine Rampe runter.,s It rolls down a ramp.
4068.4,4070.4,Auf der vereisten Schräge kommt er ins Schlittern.,"On the icy slope, he comes into skidding."
4073.5,4074.8,Der Rollstuhl fährt rückwärts.,The wheelchair is reversing.
4077.6,4078.8,ss Abends: Er schiebt Dan.,ss evening: He pushes Dan.
4087.3,4089.8,ss Dan hebt eine Schnapsflasche in einer Tüte zum Mund.,ss Dan picks up a liquor bottle in a bag to his mouth.
4092.1,4094.6,ss Im Rotlichtviertel schiebt er Dan durch einen Verkehrsstau.,ss In the red light district he pushes Dan through a traffic jam.
4101.8,4103.3,Ein Taxi bremst dicht vor ihm.,A taxi brakes in front of him.
4115.1,4117.8,Im Fernsehen mitsingende Soldaten in Vietnam.,"On television, sing soldiers in Vietnam."
4122,4124.9,Die beiden schauen die Übertragung der Weihnachtsfeier mit Bob Hope.,Both watch the transmission of the Christmas party with Bob Hope.
4128.8,4130.3,Tausende G.I.s stehen auf.,Thousands G.I.s stand on.
4141.8,4143.7,s Dan wirft seine ausgetrunkene Flasche weg.,s Dan throws his being drunk bottle away.
4151.6,4152.8,ss Er sieht in eine leere Flasche.,ss He sees an empty bottle.
4168.1,4169.5,s Er öffnet einen leeren Flachmann.,s He opens an empty flask.
4195.4,4197.4,s Der nimmt eine leere Flasche aus einer Schublade.,s The take an empty bottle from a drawer.
4198.3,4199.4,Er lässt sie wieder reinfallen.,He can fall for again.
4203.8,4205.9,"Dan rollt zu Forrest, der auf dem Sofa sitzt.","Dan rolled to Forrest, who sits on the sofa."
4212.5,4213.1,ss In einer Bar:,ss In a bar:
4297.2,4298.2,Sie zeigt zum Fernseher.,It shows for television.
4309.9,4311.2,ss Die geht durch ein Apartment.,ss which passes through an apartment.
4315.4,4331.7,Auch dort läuft die Übertragung aus New York. Jenny  packt eilig Sachen in ihre Handtasche.  (In einer Ecke steht ein Schlagzeug. STUDIO) Jenny zieht ein Kleidungsstück unter dem Fuß eines schlafenden halbnackten Mannes hervor. In einem Spiegel hinter dem Bett betrachtet sie ihr blaues Auge. Sie verlässt das Apartment durch die Terrassentür.,"There, too, running the transfer from New York. Jenny grabs hurry things in her purse. (In one corner stands a drum set. STUDIO) Jenny pulls a garment under the foot of a sleeping half-naked man out. In a mirror behind the bed they considered her black eye. She leaves the apartment through the patio doors."
4342,4342.7,In der Bar:,In the bar:
4345.9,4356.2,s Im Fernseher leuchtet '1972'. Forrest trägt ein Party-Hütchen. Leute werfen Konfetti. Karla und Lenore küssen Forrest auf die Wangen. Dan starrt deprimiert vor sich hin.,s In the TV lights up '1972'. Forrest wearing a party hat. People throwing confetti. Karla and Lenore kiss Forrest on the cheeks. Dan stares depressed to himself.
4364.9,4366.1,Der reagiert nicht.,The unresponsive.
4383.7,4384.5,ss Auf der Wartebank.,ss on the waiting bench.
4399.2,4400.6,ss Nixon hält eine Ehrentafel.,ss Nixon holds a roll of honor.
4408.2,4408.9,ss Im Hotel:,ss In Hotel:
4428.3,4431.5,s Beim Telefon ein Ständer mit der Aufschrift 'Watergate Hotel'. * Nixon im Fernsehen:,s When a telephone stand with the inscription 'Watergate Hotel'. * Nixon on TV:
4442.4,4448.3,"In einer Sporthalle geht ein schwarzer Offizier am Fernseher vorbei und steuert auf Forrest zu, der allein Pingpong spielt.","In a sports hall, a black officer on TV passes and heading for Forrest, who alone Pingpong plays."
4460.8,4462.7,Er gibt Forrest einen Umschlag und geht.,He gives Forrest an envelope and goes.
4468.4,4470,s Verwirrt sieht Forrest zur Tür.,s Confused looks Forrest to the door.
4481.6,4483.4,Er rennt mit seinem Schläger zum Ausgang.,He runs with his bat to the exit.
4487.8,4502.4,Missis Gump kommt … (JUCHZEN) … auf ihre Veranda. Glücklich lächelnd bleibt sie auf dem Treppenabsatz stehen und sieht ihrem Sohn entgegen. Ihr Haar ist leicht ergraut. (JUCHZEN) Forrest kommt über den Rasen auf sie zu. Er trägt seine graue Uniform mit Schiffchen auf dem Kopf.,Missis Gump comes ... (juchzen) ... on their porch. Happy smiling it remains on the landing are and looks forward to her son. Her hair is slightly gray. (Juchzen) Forrest comes across the lawn toward them. He wears his gray uniform with boats on the head.
4562.9,4564.1,s Bei ihr stehen fünf Kinder.,s When you have five children.
4567.8,4568.4,Am Grab.,Am Grab.
4579.7,4580.9,Er zieht einen Zettel raus.,He pulls out a piece of paper.
4597.6,4598.2,ss Am Hafen.,ss Am Hafen.
4599.4,4600.5,s Ein Schwarzer mit dem Geld.,s A black man with the money.
4619.1,4619.9,Wieder am Grab.,Again at the grave.
4630.7,4649.8,"In strahlendem Sonnenschein fährt der rostige Kutter übers Meer. Auf dem Achterdeck steht Forrest am Steuer. Hinter dem Ruderhaus hängen Netze an senkrecht gestellten Auslegern. * s Später: Forrest öffnet ein Netz und lässt den Fang aufs Deck fallen: Müll, Muscheln und ein Shrimp.","In bright sunshine the rusty cutter moves across the sea. On the quarterdeck Forrest is at the helm. Behind the wheelhouse hanging nets on vertically placed booms. * S later: Forrest open a network and makes the catch on deck fall: garbage, seashells and a shrimp."
4659.7,4661,Im Hafen zum Schwarzen:,In the harbor the Black:
4685.1,4688,Auf ein Schild an der Bordwand malt er den Namen 'Jenny'.,"On a sign on the ship's side, he painted the name 'Jenny'."
4692.6,4695.3,In einer vollen Disco sitzt Jenny mit anderen an einem Tisch.,In a full disco Jenny sits with others at a table.
4700,4704.8,s Ein Schwarzer gibt ihr einen aufgerollten Geldschein. Damit zieht sie sich eine Linie Kokain in ihre Nase.,s A Black gives her a rolled-up bill. So she pulls a line of cocaine in her nose.
4716.3,4735.2,"In einem schummrigen Zimmer lässt ein Mann eine Spritze auf einen Tisch fallen, auf dem Geld, Kokain und Tabletten liegen. Über einem Arm des Mannes hängt lose ein Gummischlauch. Benommen berührt der Mann Jennys Rücken und lässt sich aufs Bett sinken. Sie sitzt von ihm abgewandt auf der Bettkante und starrt teilnahmslos vor sich hin. Ihr Gesicht ist blass.","In a dimly lit room, a man drops a syringe on a table, lying on the money, cocaine and tablets. About a man's arm hangs loose a rubber hose. Dizziness touched the man Jenny's back and lets himself fall on the bed. She sits away from him on the bed, staring impassively ahead. Her face is pale."
4737.8,4747.7,Auf einem Schminktisch verwischt Jenny Kokainlinien auf einem Spiegel. In einem großen Wandspiegel betrachtet sie ihr müdes Gesicht. Sie hat Ringe unter den Augen. Jenny geht auf den Balkon.,On a dresser Jenny cocaine lines blurred on a mirror. In a large wall mirror she considered her tired face. She has circles under the eyes. Jenny goes to the balcony.
4751.1,4759,In ihren hochhackigen Sandalen steigt sie über einen Tisch auf die Brüstung und richtet sich vorsichtig auf. Tief unten fließt der nächtliche Verkehr.,In her high-heeled sandals she climbs on a table on the parapet and aimed carefully. Deep down flows of nighttime traffic.
4762.1,4768.9,Sie hält sich mit den Armen am Balkon darüber fest und blickt mit ruhigem Gesicht zur Straße hinunter. Der Wind weht durch ihr Haar.,She clings to the arms on the balcony and looks about with a calm face down to the road. The wind blowing through her hair.
4775.2,4784.1,"Ein Fuß rutscht ab. Krampfhaft hält sich Jenny fest, atmet schwer und starrt ängstlich in die Tiefe. … Sie geht in die Hocke und steigt von der Brüstung.","One foot from slipping. Spasmodic Jenny holds, breathing heavily and staring anxiously into the depths. ... You go into a crouch and rises from the parapet."
4787.2,4814.9,"Verstört kauert sie sich in einen Balkonsessel. Mit verschränkten Armen wiegt sich Jenny vor und zurück. Sie schaut hoch; Mondlicht fällt auf ihr Gesicht; (WEINEN) über ihre Wangen laufen Tränen. * Durch ein Wolkenloch scheint der fast volle Mond auch auf den Shrimp-Kutter. In einem Netz, das an einem Ausleger über dem Wasser hängt, liegt Forrest wie in einer Hängematte. … Traurig blickt er in die Nacht.","Distraught she crouches in a balcony seat. With arms crossed Jenny weighs back and forth. She looks up; Moonlight falls on her face; Run (cry) Tears down her cheeks. * Through a hole in the clouds of the nearly full moon shines on the shrimp boats. In a network which depends on a boom over the water, Forrest is like in a hammock. ... Sadly, he looks into the night."
4818.8,4836.3,Es ist Tag. Forrest steuert die 'Jenny' am Ufer entlang. Er trägt ein verschmutztes weißes Muscle-Shirt und eine Schirmmütze. Plötzlich entdeckt er etwas und späht Richtung Ufer. Auf einem Anlegesteg sitzt Dan im Rollstuhl. Forrest lässt das Steuerrad los und stellt sich an die Reling.,"It's day. Forrest controls the 'Jenny' along the shore. He wears a soiled white Muscle-shirt and a baseball cap. Suddenly he discovered something, peering toward the shore. On a pier Dan is in a wheelchair. Forrest lets go of the steering wheel and adjusts itself to the rail."
4838.4,4841.1,Dan macht das 'Peace'-Zeichen; Forrest winkt wild.,Dan makes the 'Peace' characters; Forrest waving wildly.
4843.3,4844.8,Forrest springt über Bord.,Forrest jumps overboard.
4847.5,4852.5,Der Kutter fährt weiter. Forrest krault zum Steg.,The cutter continues. Forrest fondles the web.
4860.3,4864.5,Dan raucht eine Zigarre mit Mundstück. Forrest steigt eine Leiter zu ihm hoch.,Dan smoking a cigar with a mouthpiece. Forrest climbs a ladder up at him.
4905.2,4906.9,ss Hinter ihm rammt das Schiff einen Ponton.,ss Behind him the ship rammed a pontoon.
4909.5,4911.3,Es schiebt den halben Ponton vor sich her.,It pushes the half pontoon in front of him.
4915.8,4918.9,Auf dem offenen Meer: Hoch über dem Deck sitzt Dan auf einem Mast.,On the open sea: High above the deck Dan sits on a mast.
4925.2,4927,s Verwirrt lässt Forrest das Steuer los.,s Confused Forrest lets go of the control.
4936.9,4937.8,s Er dreht nach rechts.,s He turns to the right.
4942.2,4944.3,s Forrest überlegt – und fährt nach links.,s Forrest considered - and moves to the left.
4947.7,4949.3,ss Dan trägt Stirnband und Sonnenbrille.,ss Dan wearing headband and sunglasses.
4952.4,4953.7,ss Forrest öffnet das Netz.,ss Forrest opens the network.
4954.6,4961.2,"An Deck liegen Dosen, eine Klobrille und anderer Müll. Dan sitzt daneben. Forrest hebt die Klobrille auf und betrachtet sie.","On deck are cans, a toilet seat and other trash. Dan sits beside it. Forrest picks up the toilet seat and considers them."
4975.5,4978.8,s In einer Kirche singt Forrest in blau-rotem Gewand im Gospelchor mit.,s In a church Forrest sings in blue-red robe with the gospel choir.
4981.7,4983.1,ss Dan sitzt hinten und trinkt,ss Dan sits back and drinks
